C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,13,16,19,22,20,18,16,18,15,16,18,24,27,34,107,189,138,43,22,14,11,11,11,14,13,13,16,17,20,21,25,39,223
15,7,27,6,9,9,10,26,158,11,9,14,347,34,6,8,9,10,7,6,7,5,5,4,3,4,2,3,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,7,8,6,12,12,12,13,30,37,147,147,31,15,15,16,13,16,24,43,354,293,306,68,18,18,17,22,19,25,20,25,22,13,17,19,12,14,14,18,15,11,10,9,10,10,9,7,5,7,5,6,5,4,5,4,3,3,3,3,2,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,11,12,12,18,19,19,17,18,16,15,19,21,27,30,39,110,184,133,43,24,17,13,13,14,14,15,14,14,15,18,20,25,45,222
13,8,24,5,9,10,12,22,160,11,8,13,363,33,8,7,8,10,7,5,8,5,4,4,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,6,8,9,11,12,12,14,26,34,148,153,32,16,14,14,16,18,23,41,368,314,314,77,16,18,17,19,18,22,19,21,20,15,15,19,14,12,15,17,13,9,10,9,8,8,8,7,6,6,6,5,5,5,5,5,4,4,3,3,3,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,11,14,16,19,19,17,18,19,17,17,18,24,28,36,108,190,139,45,24,16,15,14,11,11,13,15,16,17,18,19,24,44,233
14,8,24,6,7,11,12,28,155,9,8,14,362,34,7,8,9,10,8,6,8,5,5,4,3,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,7,8,11,13,12,14,34,36,148,146,28,12,14,13,16,17,24,45,370,311,313,75,19,16,19,20,20,24,21,23,23,15,16,18,14,13,14,16,13,10,9,9,9,7,7,7,7,6,4,4,6,5,4,5,3,4,4,3,3,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,10,13,16,19,19,16,19,19,17,17,20,31,33,35,109,185,133,43,18,14,12,12,12,12,14,14,16,16,18,21,26,46,234
13,4,25,5,5,10,10,19,133,5,6,9,378,42,7,9,9,11,9,5,6,6,3,5,4,2,2,5,3,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,8,6,9,9,14,9,13,21,32,133,135,19,8,12,10,11,12,15,47,392,336,346,89,22,17,23,23,19,27,23,23,23,18,16,20,15,12,19,18,13,9,12,9,9,5,11,4,6,10,7,3,4,6,5,4,5,2,2,4,2,1,2,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,9,10,17,14,18,19,16,14,14,14,15,13,16,22,34,96,160,122,35,11,8,9,11,10,10,11,11,7,10,15,16,26,49,245
12,8,21,6,7,9,11,20,168,12,7,11,369,35,6,7,8,8,7,7,9,4,5,4,4,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,6,8,8,10,11,10,13,25,29,145,161,36,17,12,13,15,15,19,41,375,320,322,83,18,16,15,21,19,24,20,23,19,15,17,16,14,16,13,18,12,13,9,8,9,7,9,7,6,7,5,5,5,5,5,5,5,3,5,3,3,2,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,9,12,14,18,16,17,15,15,17,16,16,15,23,25,30,103,197,147,48,26,18,14,11,10,11,15,14,15,14,16,17,21,43,234
11,7,24,6,8,9,10,19,136,18,9,12,325,33,8,9,9,30,13,6,9,6,5,4,4,4,3,3,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5,6,7,8,9,10,11,12,23,31,125,143,57,25,16,15,17,19,22,39,326,272,291,67,21,21,20,23,20,29,34,24,48,23,19,23,17,14,17,17,15,11,12,10,10,10,9,8,8,7,6,6,6,6,6,6,5,5,4,5,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,11,13,15,16,16,15,15,16,14,15,15,21,26,33,89,161,134,66,45,28,18,14,12,13,15,16,17,17,19,19,22,40,201
12,7,23,6,8,11,10,27,149,10,9,16,336,37,7,8,10,15,9,7,9,5,5,4,4,3,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,6,8,8,12,13,12,13,35,34,133,150,32,15,16,12,16,18,27,48,344,291,307,72,18,18,18,21,19,25,24,25,27,18,19,20,16,15,16,18,14,10,11,9,10,8,8,8,8,7,6,5,5,6,6,5,3,4,4,3,4,2,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,10,13,18,20,20,17,18,17,16,17,23,31,32,35,97,178,138,47,22,15,13,11,12,13,13,15,16,16,19,24,28,48,215
10,9,24,3,3,9,18,24,148,5,9,13,369,35,5,5,14,15,12,0,6,3,5,2,3,3,1,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,6,5,4,11,10,13,18,28,22,132,138,30,12,17,26,12,12,24,40,363,331,323,88,20,16,17,23,18,27,23,23,31,19,18,20,19,9,13,19,12,6,6,10,8,5,8,5,6,6,8,5,9,2,6,4,3,5,4,2,4,1,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12,13,16,17,15,15,13,22,26,15,14,17,26,30,29,88,174,121,45,26,14,14,13,9,19,18,16,11,16,24,18,26,40,234
11,7,20,5,8,9,9,20,159,8,8,10,374,36,7,7,10,16,9,6,8,5,5,5,3,4,3,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,7,8,6,10,10,9,13,24,34,146,155,28,12,15,14,16,17,21,39,376,312,329,78,20,19,19,19,21,25,26,23,28,18,17,19,14,13,15,17,13,11,10,8,9,8,10,8,7,5,5,6,5,5,5,4,4,4,3,3,2,3,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,9,10,11,16,18,16,15,15,15,15,15,15,21,28,38,105,185,140,44,18,12,12,12,13,13,14,16,17,17,16,17,20,40,229
