label,﻿C-K,N-K,O-K,F-K,Na-K,Mg-K,Al-K,Si-K,P-K,S-K,Cl-K,K-K,Ca-K,Sc-K,Ti-K,V-K,Cr-K,Mn-K,Fe-K,Co-K,Ni-K,Cu-K,Zn-K,Ga-K,Ge-K,As-K,Se-K,Br-K,Rb-K,Sr-K,Y-K,Zr-K,Nb-K,Mo-K,Ru-K,Rh-K,Pd-K,Ag-K,Cd-K,In-K,Sn-K,Sb-K,Te-K,I-K,Cs-K,Ba-K,La-K,Ce-K,Pr-K,Nd-K,Pm-K,Sm-K,Eu-K,Gd-K,Tb-K,Dy-K,Ho-K,Er-K,Tm-K,Yb-K,Lu-K,Hf-K,Ta-K,W-K,Re-K,Os-K,Ir-K,Pt-K,Au-K,Hg-K,Tl-K,Pb-K,Bi-K,Po-K,At-K,Fr-K,Ra-K,Ac-K,Th-K,Pa-K,U-K,Np-K,Pu-K,Am-K,﻿C-L,N-L,O-L,F-L,Na-L,Mg-L,Al-L,Si-L,P-L,S-L,Cl-L,K-L,Ca-L,Sc-L,Ti-L,V-L,Cr-L,Mn-L,Fe-L,Co-L,Ni-L,Cu-L,Zn-L,Ga-L,Ge-L,As-L,Se-L,Br-L,Rb-L,Sr-L,Y-L,Zr-L,Nb-L,Mo-L,Ru-L,Rh-L,Pd-L,Ag-L,Cd-L,In-L,Sn-L,Sb-L,Te-L,I-L,Cs-L,Ba-L,La-L,Ce-L,Pr-L,Nd-L,Pm-L,Sm-L,Eu-L,Gd-L,Tb-L,Dy-L,Ho-L,Er-L,Tm-L,Yb-L,Lu-L,Hf-L,Ta-L,W-L,Re-L,Os-L,Ir-L,Pt-L,Au-L,Hg-L,Tl-L,Pb-L,Bi-L,Po-L,At-L,Fr-L,Ra-L,Ac-L,Th-L,Pa-L,U-L,Np-L,Pu-L,Am-L,﻿C-M,N-M,O-M,F-M,Na-M,Mg-M,Al-M,Si-M,P-M,S-M,Cl-M,K-M,Ca-M,Sc-M,Ti-M,V-M,Cr-M,Mn-M,Fe-M,Co-M,Ni-M,Cu-M,Zn-M,Ga-M,Ge-M,As-M,Se-M,Br-M,Rb-M,Sr-M,Y-M,Zr-M,Nb-M,Mo-M,Ru-M,Rh-M,Pd-M,Ag-M,Cd-M,In-M,Sn-M,Sb-M,Te-M,I-M,Cs-M,Ba-M,La-M,Ce-M,Pr-M,Nd-M,Pm-M,Sm-M,Eu-M,Gd-M,Tb-M,Dy-M,Ho-M,Er-M,Tm-M,Yb-M,Lu-M,Hf-M,Ta-M,W-M,Re-M,Os-M,Ir-M,Pt-M,Au-M,Hg-M,Tl-M,Pb-M,Bi-M,Po-M,At-M,Fr-M,Ra-M,Ac-M,Th-M,Pa-M,U-M,Np-M,Pu-M,Am-M
0,15,23,43,8,7,7,7,12,12,88,11,11,21,13,111,42,18,11,14,9,9,7,7,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,6,6,7,6,8,8,8,9,17,13,14,17,80,108,19,19,20,20,23,24,34,37,35,44,96,284,89,139,70,47,35,29,28,23,27,23,23,21,20,18,18,18,17,17,16,18,17,15,13,12,12,10,10,10,9,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,13,11,11,14,15,13,12,12,12,11,12,13,15,13,11,14,15,18,44,113,120,58,26,17,16,18,19,19,19,19,19,20,21,29
0,14,23,39,9,6,6,7,11,12,88,11,11,28,13,103,38,18,12,12,9,9,8,8,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,6,6,6,6,7,8,8,9,16,13,14,17,86,109,19,19,20,20,23,25,41,45,39,46,101,272,90,134,68,46,35,29,28,23,25,22,23,20,20,19,18,18,18,17,16,18,17,15,13,12,11,10,10,10,10,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,13,11,11,13,14,13,12,12,12,11,12,13,14,13,12,14,15,18,48,119,122,57,25,17,16,18,19,18,19,20,19,20,22,34
0,13,16,54,7,7,6,7,11,12,103,11,11,16,13,154,54,16,12,15,9,9,7,8,9,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,7,6,7,6,7,8,8,9,15,14,14,16,53,127,20,19,20,20,22,24,29,30,32,38,74,311,82,148,71,55,33,31,32,23,26,26,22,21,20,19,18,18,18,17,16,18,17,15,14,13,11,11,10,10,10,9,9,8,8,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,12,12,12,13,13,12,11,12,11,12,12,13,13,12,13,14,17,27,91,130,86,35,18,16,19,20,19,19,19,19,20,20,24
0,14,17,55,7,7,8,7,12,11,101,11,11,16,12,138,49,16,13,15,9,9,8,7,8,7,6,5,5,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,6,7,6,9,9,8,9,16,14,14,16,60,124,20,19,20,20,23,24,29,31,31,39,76,304,81,146,69,53,34,31,31,23,27,24,23,21,20,18,18,18,18,17,16,18,16,15,14,12,11,10,10,9,9,9,9,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,14,12,12,14,16,14,12,11,11,11,12,12,14,13,12,14,14,16,31,98,130,79,31,18,16,18,19,19,18,19,19,20,21,24
0,14,18,52,7,6,7,7,13,11,101,10,11,13,13,135,48,16,12,16,9,9,8,7,9,7,6,5,5,4,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,6,6,5,8,8,8,9,17,15,14,16,64,122,19,18,19,20,23,25,26,28,30,41,81,303,85,144,70,52,34,31,31,24,28,25,23,21,20,18,18,18,18,17,16,18,17,15,13,12,11,10,10,10,10,9,8,8,7,7,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,11,11,13,14,14,12,12,12,11,11,12,15,15,13,14,14,17,34,102,129,74,28,17,16,18,19,18,19,20,20,20,21,22
1,14,7,24,7,9,9,11,21,159,9,10,10,355,35,8,7,9,11,7,8,8,5,5,6,4,4,2,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,7,8,8,11,11,12,13,25,31,143,154,31,12,16,14,15,17,20,37,356,296,321,75,18,20,17,21,21,26,21,25,22,17,17,18,15,15,16,16,12,11,11,8,10,10,11,8,7,8,6,6,6,5,5,6,6,2,4,4,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,12,12,14,18,19,18,16,18,18,15,16,15,23,27,33,102,188,139,43,21,13,12,12,11,15,13,14,16,15,16,16,18,39,216
1,16,7,26,7,9,9,13,22,165,9,8,14,354,37,6,10,7,7,7,9,9,6,5,6,2,2,1,2,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,6,6,8,9,10,9,8,14,28,34,143,161,30,13,12,12,14,15,20,40,363,297,316,65,20,18,27,25,25,25,18,22,15,19,15,16,15,17,17,20,12,14,12,9,8,7,10,6,7,4,5,4,4,4,5,4,5,5,5,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,13,14,16,20,17,15,15,18,20,18,16,25,32,37,102,190,148,49,21,14,10,10,10,9,12,14,13,13,17,21,24,43,223
1,13,7,24,6,9,8,11,19,156,9,7,12,361,37,6,12,8,9,7,7,9,5,6,5,3,3,4,2,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,5,8,7,8,9,14,14,24,35,140,143,26,12,13,13,12,18,27,47,364,295,330,73,20,23,21,27,21,27,20,24,21,20,18,20,18,17,14,19,11,11,10,12,11,8,10,6,8,6,5,5,5,5,7,6,3,3,5,3,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,12,14,14,12,13,17,18,21,19,15,12,13,23,24,35,99,182,134,40,21,14,10,11,10,11,11,12,13,16,20,23,27,43,214
1,14,8,28,7,10,12,12,22,158,10,10,13,355,37,8,8,8,9,6,7,9,4,4,5,2,4,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,7,7,10,12,14,10,14,26,33,146,153,30,13,16,14,15,18,24,39,359,297,314,70,22,20,20,21,20,24,20,20,18,16,16,16,13,15,13,17,12,11,9,8,8,9,10,7,6,7,5,5,6,5,5,5,4,4,4,4,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,13,16,19,22,20,18,16,18,15,16,18,24,27,34,107,189,138,43,22,14,11,11,11,14,13,13,16,17,20,21,25,39,223
1,16,9,23,7,8,8,11,23,157,11,9,13,356,33,7,7,8,10,8,6,8,6,4,4,2,3,3,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,7,8,8,10,10,11,13,28,34,145,150,31,14,15,13,16,16,23,40,363,301,317,78,19,16,20,22,21,26,19,23,21,16,16,17,16,12,13,16,12,11,9,8,8,10,10,7,6,6,5,4,7,5,6,5,4,4,4,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,12,14,17,16,16,15,17,17,16,17,18,25,30,36,104,187,134,43,23,15,13,11,12,13,14,15,14,14,17,21,24,44,222
